Judul,Jenis,Urgensi,Polda,Tanggal,Isi
Ibu Asal Aceh dan Bayinya Diduga Dianiaya hingga Tewas di Malaysia ,kejadian,sedang,ACEH,"24/6/2026, 10.46.08","Seorang perempuan asal Aceh Tamiang, Putri Hensy Aprilda (22), diduga dibunuh di Malaysia. Korban yang sedang hamil diduga disiksa dengan kejam hingga akhirnya melahirkan secara prematur.
""Korban disiksa dengan sangat kejam. Perutnya dipijak dan dipukul berulang kali hingga akhirnya melahirkan sendiri sebelum waktunya. Dalam kondisi tersebut, bayi lahir berlumuran darah,"" kata Anggota DPD RI asal Aceh, Sudirman Haji Uma, dilansir detikSumut, Selasa (23/6/2026).

Dia mengaku mendapat informasi itu setelah timnya dan Gabungan Aceh Bersatu (GAB) Malaysia melakukan penelusuran serta pengurusan jenazah korban dan bayi di Malaysia. Berdasarkan informasi yang dihimpun, menurut dia, insiden itu terjadi pada 25 Maret di kawasan Klang, Selangor.
"
"Kapolda Sumsel Pimpin Langsung Pemusnahan 614 Senpira, Hasil Operasi Senpi Musi 2024 dan 2025.",kejadian,sedang,"PALEMBANG, SUMSEL","4/7/2025, 16.06.55",https://sumsel.tribunnews.com/2025/07/03/kapolda-sumsel-pimpin-langsung-pemusnahan-614-senpira-hasil-operasi-senpi-musi-2024-dan-2025.
"Pramono Tindak Lanjuti Temuan KPK soal Proyek SD Molor, Curiga Ada Sesuatu ",intelijen,sedang,JAKARTA,"27/5/2025, 20.20.01","Gubernur Jakarta Pramono Anung memerintahkan Kepala Dinas Pendidikan Jakarta memberi perhatian soal temuan KPK terkait adanya proyek pembangunan sekolah di Jakarta yang alami deviasi atau penyimpangan dari standar sekitar minus 31%. Pramono mencurigai ada sesuatu.
""Jadi saya kebetulan membaca berita yang disampaikan oleh KPK ada beberapa SD yang kemudian tidak selesai sesuai dengan waktunya. Pembangunannya mengalami kemunduran dan saya sudah bicara dengan Ibu Kepala Dinas Pendidikan yang baru supaya saya memberikan atensi terhadap apa yang menjadi temuan KPK,""

""KPK mendorong Dinas Pendidikan DKI Jakarta berkoordinasi intensif dengan inspektorat untuk menyelesaikan permasalahan ini. Perencanaan persiapan pengadaan seharusnya dilakukan secara matang, termasuk audit berkala dan evaluasi metode pemaketan pelaksanaan kegiatan""
Adapun program tersebut bagian dari 6 paket pembangunan sekolah yang berada di bawah tanggung jawab Pejabat Pembuat Komitmen (PPK) Dinas Pendidikan DKI Jakarta. Total anggaran untuk seluruh paket proyek sekitar Rp 262 miliar, dan nilai kontrak pembangunan di wilayah Cikini sebesar Rp 61 miliar.
Anggaran 6 proyek ini berasal dari tahun anggaran 2024. Dinas pendidikan telah melakukan adendum agar proyek dapat dilanjutkan hingga tahun 2025."
Jeratan Tersangka bagi Ketua GRIB Tangsel: Perkara Lahan hingga Narkoba ,intelijen,sedang,JAKARTA,"27/5/2025, 20.03.21","Sebanyak 17 orang ditangkap terkait pendudukan lahan BMKG di Tangerang Selatan (Tangsel), Banten. Ketua GRIB Jaya Tangsel inisial MYT yang turut ditangkap ditetapkan sebagai tersangka dalam perkara pendudukan lahan BMKG dan narkoba.
MYT turut ditangkap bersama 16 orang lainnya pada Sabtu (24/5) sore dari atas lahan BMKG yang berlokasi di Jalan Pondok Betung Raya, Pondok Aren, Tangsel. Terkini, 15 orang yang sempat diamankan sudah dipulangkan oleh polisi.

Selain MYT, seorang warga berinisial Y juga ditetapkan tersangka kasus penguasaan lahan BMKG. Keduanya diduga melakukan dua jenis pelanggaran.
""Pertama Saudara Y seorang warga yang mengaku ahli waris. Kemudian Saudara MYT, Ketua DPC ormas GJ di Tangsel. Y dan MYT telah ditetapkan sebagai tersangka,"""
"Operasi Anti-premanisme Polda Metro: 3.559 Orang Dibekuk, 348 Jadi Tersangka",intelijen,sedang,JAKARTA,"26/5/2025, 21.40.02","Polda Metro Jaya membekuk 3.559 orang dalam Operasi Berantas Jaya. Sebanyak 348 ditetapkan sebagai tersangka kasus premanisme.


""Dari hasil penanganan Operasi Berantas, di sini yang berhasil kita amankan sebanyak 3.599 orang yang terlibat dalam kasus premanisme,"" kata Karoops Polda Metro Jaya Kombes I Ketut Gede Wijatmika dalam jumpa pers di kantornya, Senin (26/5/2025).

Dia menjelaskan, sebanyak 3.251 orang tersebut dilakukan pembinaan. Dia merinci 59 orang yang dibina Polda Metro Jaya, sedangkan dari pembinaan polres 3.192 orang.

""Dari 3.599 tersebut, telah diterapkan sebagai tersangka 348 orang dengan rincian 83 orang ditetapkan oleh Polda, sedangkan 265 orang yang ditetapkan tersangka oleh jajaran Polres,"" jelas dia.

Operasi Berantas Jaya digelar selama dua pekan sejak 9-23 Mei. Operasi ini digelar untuk menciptakan situasi kondusif di masyarakat, serta mendukung aktivitas ekonomi dan iklim investasi di wilayah hukum Jakarta dan sekitarnya.

""Dalam kasus premanisme ini juga, dalam Operasi Berantas Jaya, kita juga telah menangani 251 kasus, di antaranya meliputi pemerasan sebanyak 115 kasus, pengeroyokan 21 kasus, penganiayaan 29 kasus, pencurian dengan pemberatan 54 kasus, pencurian dengan kekerasan 8 kasus dan penggunaan senjata tajam ada 24 kasus,"" rincinya.

Polda Metro juga menangkap sejumlah orang terkait kasus premanisme dengan modus ormas. Polisi juga menangkap 3 pelaku premanisme dengan kedok penagih utang dari pihak leasing.

""Dalam operasi ini, kita juga menetapkan 56 orang premanisme yang berkedok ormas dengan rincian ormas PP sebanyak 31 orang, FBR 10 orang, Trinusa 11 orang, BPPKB 1 orang, GNBI ada 1 orang, GRIB 1 orang, Gibas 1 orang,"" bebernya.

Polisi dan petugas gabungan dari TNI dan Satpol PP juga menertibkan 1.801 atribut ormas berupa spanduk ataupun bendera yang dipasang di ruang publik. Dia menjelaskan, atribut ormas terbanyak ditertibkan di Jakarta Pusat (Jakpus), yakni 477 penindakan atribut ormas dan 130 posko ormas yang tidak sesuai dengan aturan (ilegal).

""Dari operasi ini juga berhasil kita mendapat barang bukti sebanyak 372 barang bukti dengan rincian 93 bilah sajam, 89 kendaraan roda dua, 4 kendaraan roda empat, 137 unit handphone, 1 laptop, 2 karcis yang digunakan oleh kelompok tertentu dalam pungutan liarnya, serta 20 kartu tanda anggota ormas, 6 jaket ormas, 9 buah sertifikat kaderisasi ormas, 1 buah rekening bank, serta uang tunai Rp 85.247.500,"" ungkap dia."
"Rumah Tinggal di Bogor Terbakar, Ibu-Anak Sempat Terjebak",intelijen,sedang,BOGOR,"26/5/2025, 21.29.39","Rumah warga di Kelurahan Sindang Rasa, Bogor Timur, Kota Bogor, terbakar hingga ibu dan anak mengalami luka bakar. Peristiwa terjadi ketika pemilik rumah sedang berada di masjid untuk salat berjemaah.
""(Kronologinya) Saat kejadian pemilik rumah sedang salat Subuh di masjid, kemudian ketika pulang ke rumah kondisi rumah sudah terbakar,"" kata Kabid Pemadaman dan Penyelamatan Dinas Damkar Kota Bogor M Ade Nugraha, Senin (26/5/2025).

""Saat kejadian kondisi korban sedang tidur. Kondisi korban, satu orang luka parah. Kemudian dua orang luka sedang, terbakar di bagian tangan dan wajah,"" kata Ade.

""Warga sudah berusaha memadamkan api, tetapi api semakin membesar. Untuk penanganan kita mengerahkan 6 unit damkar dan 30 personel ke lokasi. Penanganan kurang lebih 30 menit,"" kata Ade.

Lurah Sindangrasa Maryamah mengatakan keempat korban kebakaran diduga sempat terjebak dalam rumah karena pintu sulit dibuka. Pintu diduga dikunci oleh pemilik rumah yang keluar untuk salat di masjid.

""Sepertinya korban terjebak di dalam (rumah) karena menurut keterangan saudaranya pintunya tidak bisa dibuka. Mungkin karena panik atau memang dikunci, karena Pak Fahru (pemilik rumah) sedang berangkat ke masjid, salat Subuh,"" kata Maryamah.

Warga lalu menjebol jendela kaca depan rumah agar pintu bisa dibuka. Warga berhasil mengeluarkan korban dari dalam rumah.

""Iya, akhirnya dijebol sama warga. Korban menderita luka bakar 50 persen satu orang, kemudian yang lain luka ringan. Saat ini korban berada di RSUD Ciawi dan sudah ditangani dokter,"" kata Maryamah.

Maryamah mengatakan empat korban luka merupakan satu keluarga yang terdiri atas ibu, anak, dan keponakan. Keempat korban adalah istri dari pemilik rumah, Siti Aisah (49); dua anaknya, Syifa (18) dan RA; serta seorang saudara pemilik rumah yang sedang menginap bernama Ruslan (20).

Kebakaran diduga akibat korsleting listrik. Damkar menyebutkan banyaknya material yang mudah terbakar membuat api makin membesar."
Pengecekan TKP Kebakaran Asrama SPN Polda Sumbar,intelijen,sedang,Padang,"26/5/2025, 15.08.02","Berdasarkan keterangan Saksi Rudi Sanjaya  menerangkan bahwa pada hari minggu tanggal 25 Mei 2025 sekitar pukul 20.00 Wib terlihat kepulan Asap dari dalam sebuah rumah Ahmad Trialdi. Mengetahui hal tersebut masyarakat sekitar TKP memberitahu pihak damkar kota padang tentang kejadian tersebut.

Sekitar pukul 20.45 Wib, Petugas Damkar berikut 6 unit Mobil Damkar Pemko Padang dan 1 unit Mobil Damkar PT. Semen Padang. Sesampai di TKP petugas Damkar berusaha masuk kedalam TKP langsung melakukan pemadaman kedalam rumah.

Sekira pukul 21.40 Wib, Bapak Waka Polda Sumbar IRJEN POL. GUPUH SETIYONO, S.I.K.,M.H dan Bapak Irwasda Polda Sumbar Kombes Pol. Guritno Wibowo tiba di Tkp Kebakaran  di sambut langsung oleh Ka SPN Polda Sumbar Kombes Pol. Erwin Suwondo, S.I.K.,M.Ik dan Kapolsek Lubuk Kilangan Kompol SOSMEDYA, S.H., M.H

Sekira Pukul 22.13 Wib, setelah api sudah dapat di padamkan. Bapak Waka Polda Sumbar IRJEN POL. GUPUH SETIYONO, S.I.K.,M.H dan Bapak Irwasda Polda Sumbar Kombes Pol. Guritno Wibowo melihat rumah asrama polisi SPN Polda Sumbar yang terbakar.

Bagian rumah yang terbakar :
10 unit rumah asrama polisi SPN Polda Sumbar

Pukul 22.20 Wib, Api sudah mulai berhasil dipadamkan dan petugas damkar meninggalkan Tkp kebakaran.

Sekira Pukul 22.30 Wib, Kapolreta Padang AKBP Apri Wibowo, S.I.K.,M.H dan Walikota Padang Bapak Fadli Amran mendatangi Tkp dan melihat langsung keadaan asrama polisi yang terbakar.

Sekira pukul 22.40 Wib, Bapak Waka Polda Sumbar IRJEN POL. GUPUH SETIYONO, S.I.K.,M.H dan Bapak Irwasda Polda Sumbar Kombes Pol. Guritno Wibowo meninggalkan lokasi kebakaran

Dan pukul 22.55 Wib, Kapolreta Padang AKBP Apri Wibowo, S.I.K.,M.H dan Walikota Padang Bapak Fadli Amran meninggal lokasi kebakaran.

Korban Jiwa dalam kejadian tersebut NIHIL sedangkan Kerugian Materil belum dapat didata.

Penyebab kejadian masih dalam penyelidikan"
Geger Mayat Laki-laki Ditemukan Membusuk 3 Hari di Rumahnya,kejadian,sedang,"PALEMBANG, SUMSEL","26/5/2025, 14.47.29","Warga Jalan Batu Nilam RT 23/ 07 Kelurahan 26 ilir Kecamatan Bukit Kecil Palembang digegerkan dengan penemuan mayat seorang laki-laki di dalam rumahnya, Sabtu 24 Mei 2025.

Korban diketahui yakni Medi Erwan (58), yang kesehariannya berprofesi sebagai buruh harian lepas. 

Jasad korban ditemukan dalam kondisi sudah membusuk dan diperkirakan meninggal dunia sudah tiga hari lalu. 

Kronologi Penemuan mayat laki-laki ini berawal pada Jumat 23 Mei 2025 saat saksi Fitri (31) mencium bau busuk di sekitaran rumah korban.

https://sumeks.disway.id/read/753167/warga-bukit-kecil-palembang-geger-mayat-laki-laki-ditemukan-membusuk-3-hari-di-rumahnya."
"Sindikat Maling Motor di Bekasi Dibongkar, Eksekutor-Penadah Diringkus ",intelijen,sedang,BEKASI,"26/5/2025, 05.03.22","Tim Jatanras Polres Metro Bekasi menangkap sindikat pencurian motor di kawasan Sukatani, Kabupaten Bekasi, Jawa Barat (Jabar). Tiga orang pelaku yang terdiri dari eksekutor hingga penadah diringkus.
""Ketiga pelaku yang diamankan yakni TS (31), LS (26), dan seorang penadah RH alias Kodok (32),"" kata Kasat Reskrim Polres Metro Bekasi Kompol Onkoseno Grandiarso Sukahar kepada wartawan, Minggu (25/5/2025)."
"Polda Metro Amankan 33 Remaja Tawuran di Jakarta, Ada yang Bawa Sinte  ",intelijen,sedang,JAKARTA,"26/5/2025, 04.57.07","Tim Perintis Presisi Polda Metro Jaya menangkap sejumlah 33 pemuda yang melakukan aksi tawuran. Para remaja ini ditangkap saat melakukan tawuran di kawasan Kebon Jeruk dan Tanah Abang.
""Patroli perintis presisi mengamankan remaja, sajam, dan sinte untuk melakukan aksi tawuran di dua titik, yaitu Kebon Jeruk dan Tanah Abang,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam kepada wartawan, Minggu (25/5/2025)."
Warga Bukit Kecil Palembang Geger Mayat Laki-laki Ditemukan Membusuk 3 Hari di Rumahnya,kejadian,sedang,"PALEMBANG, SUMSEL","25/5/2025, 17.16.26",https://sumeks.disway.id/read/753167/warga-bukit-kecil-palembang-geger-mayat-laki-laki-ditemukan-membusuk-3-hari-di-rumahnya
Ribut Lahan Parkir RSUD Tangsel Berujung Puluhan Anggota PP Tersangka,intelijen,sedang,TANGERANG SELATAN,"24/5/2025, 19.22.26","Sejumlah orang terlibat keributan di area parkir Rumah Sakit Umum Daerah (RSUD) Tangerang Selatan (Tangsel). Keributan bermula saat sejumlah anggota organisasi kemasyarakatan (ormas) melakukan perusakan, intimidasi, hingga kekerasan terhadap pengelola parkir.

Polda Metro Jaya menetapkan 31 orang terkait kasus kekerasan dan intimidasi sekelompok orang dari ormas di depan RSUD Tangerang Selatan (Tangsel) sebagai tersangka. Sebanyak 30 orang tersangka langsung ditahan.

""(Sebanyak) 30 orang yang diamankan tersebut sudah ditetapkan tersangka dan sudah dilakukan penahanan,"" kata Abdul Rahim.

Puluhan orang tersebut yang sudah diamankan Subdit Jatanras Ditreskrimum Polda Metro Jaya ini sempat diperiksa secara intensif. Mereka diperiksa terkait keributan di depan RSUD Tangerang Selatan yang dipicu masalah lahan parkir.

Total tersangka dalam kasus tersebut berjumlah 31 orang. Satu orang tersangka lainnya yang masih diburu ialah MR, Ketua Majelis Pimpinan Cabang Pemuda Pancasila (MPC PP) Tangsel.

""(Ada) 30 orang (tersangka) di luar MR. Kalau dengan MR jadinya 31 orang,"" jelas Rahim.

""Ketua MPC-nya juga (Ketua MPC PP Tangsel) dengan inisial MR telah kami tetapkan tersangka. Saat ini dalam pengejaran Subdit Jatanras Polda Metro Jaya,"" tambahnya."
Akhir Ulah Ormas Trinusa Peras Pedagang Cikarang hingga Raup Duit Miliaran  ,intelijen,sedang,BEKASI,"24/5/2025, 19.16.25","Aksi premanisme berkedok organisasi kemasyarakatan (ormas) di Cikarang, Kabupaten Bekasi, diungkap Subdit Jatanras Ditreskrimum Polda Metro Jaya. Lima orang anggota ormas ditangkap polisi.
Kasubdit Jatanras Ditreskrimum Polda Metro Jaya AKBP Abdul Rahim mengatakan LSM Triga Nusantara (Trinusa) memalak pedagang di kawasan Sentra Grosir Cikarang (SGC). Pedagang sudah resah atas pemalakan yang dilakukan anggota Trinusa.

""Saat ini kami telah mengamankan, menetapkan tersangka dan menahan 5 orang,"" ucapnya.

Pemerasan itu sudah dilakukan bertahun-tahun. Para pelaku meraup duit miliaran rupiah dari hasil pemerasan tersebut.

""Para pelaku melakukan pemerasan tersebut sudah sejak tahun 2020 dan telah meraup sekitar Rp 5 miliar,"" kata AKBP Abdul Rahim."
Pelaku Curanmor Panen Kendaraan,kejadian,sedang,"PALEMBANG, SUMSEL","24/5/2025, 15.32.33","Kepada petugas Remo yang juga ditemani 2 temannya, yang sama-sama menjadi korban curanmor yakni Agung (18) dan Andriansyah (21), di satu TKP menuturkan peristiwa itu terjadi pada Kamis, 22 Mei 2025, sekitar pukul 03.30 WIB, di bedeng Roihan terletak di Jalan Letjen Simanjuntak Lorong Bambu Kuning Kelurahan Pahlawan Kecamatan Kemuning, Palembang.

Akibat peristiwa ini, Remo dan 2 temannya harus kehilangan 3 unit sepeda motor , 1 unit motor beat deluxe bernopol BG 5829 PAB, 1 unit motor beat benopol BG 4492 KAU dan 1 unit motor beat street bernopol BG 3952 ADH. 

 

https://sumeks.disway.id/read/753069/pelaku-curanmor-panen-kendaraan-dalam-semalam-gasak-3-motor-tkp-yang-sama-di-palembang/15."
"Pengedar Narkoba Diringkus di Gerai Es Teh Depok, 3 Kg Ganja Disita",intelijen,sedang,DEPOK,"24/5/2025, 06.55.18","Satres Narkoba Polres Metro Bekasi Kota menangkap pengedar narkoba di sebuah gerai es teh di kawasan Cinere, Kota Depok, Jawa Barat (Jabar). Polisi turut menyita 3,05 kilogram ganja.
""Pengungkapan ini merupakan bagian dari Operasi Berantas Jaya 2025, dalam rangka memutus mata rantai peredaran narkoba lintas wilayah, khususnya di Depok dan Bekasi,"" kata Kapolres Metro Bekasi Kota Kombes Kusumo Wahyu Bintoro, kepada wartawan, Jumat (23/5/2025).

Penggerebekan dilakukan pada Minggu (18/5) pukul 16.00 WIB. Pelaku MF (19) ditangkap di gerai es teh di Jalan Raya Gandul, Cinere, Depok."
Siswi SMP Diduga Korban Pelecehan Oknum Guru di Depok Jalani Visum  ,intelijen,sedang,DEPOK,"24/5/2025, 06.46.18","Polisi tengah menyelidiki kasus oknum guru diduga melakukan pelecehan seksual terhadap murid sekolah menengah pertama (SMP) di Kota Depok, Jawa Barat. Korban sendiri sudah menjalani visum.
""Satu korban sudah kita lakukan visum, namun visum tersebut belum selesai hasilnya. Mungkin nanti kami akan coba sampaikan hasil visum tersebut,"" kata Kasi Humas Polres Metro Depok AKP Made Budi kepada wartawan, Jumat (23/5)."
" Diduga Peluru Nyasar di 16 Ulu Palembang Terjadi 2 Kali di TKP Berbeda, Berselang 30 Menit",kejadian,sedang,"PALEMBANG, SUMSEL","23/5/2025, 14.44.52","Selasa (20/5/2025) sekira pukul 17.30 WIB ternyata tak hanya terjadi sekali di kawasan yang sama. 

Sekira 30 menit sebelum kejadian tersebut atau pada pukul 17.00 WIB, rupanya sebuah proyektil peluru juga meletus dan mengenai satu mobil yang sedang diparkir di depan rumah kawasan Kelurahan  16 Ulu Kecamatan SU II, Palembang.

Tepatnya di Jalan Pertahanan Ujung Lorong Cik Maimunah Rt 73/21.Berawal saat saksi yakni Thamrin (70), tetangga pemilik mobil melihat kaca mobil belakang sigra putih dalam keadaan pecah kaca di TKP (tempat kejadian perkara).

""Saya awalnya yang melihat kaca mobil Nun Adinda pecah. Saat itu pemilik rumahnya sedang di Sakit Opname di Rumah Sakit,"" ungkap kepada petugas, Kamis (22/5/2025), siang.

 

Satu Orang Terluka

Warga di Jalan A Yani Lorong Banten 6 RT 055/017 Kelurahan 16 Ulu Kecamatan SU II, Palembang, dihebohkan dengan adanya dugaan peluru nyasar di pangkalan elpiji 3 Kg Warung Titik, pada Selasa (20/5/2025) sekitar pukul 17.30 WIB.

Akibat peristiwa ini, peluru nyasar tersebut mengenai telapak kaki hingga tumit, Ari Kenedi (30), warga Dusun Kelurahan Lubuk Ketepeng Kecamatan Jejawi Kabupaten Oki, yang saat itu berada di TKP. 

https://sumsel.tribunnews.com/2025/05/22/ternyata-peluru-nyasar-di-16-ulu-palembang-terjadi-2-kali-di-tkp-berbeda-hanya-berselang-30-menit."
